#,In cue,Out cue,Duration,Speaker,Language,Dialogue,Annotations,Error Type,Transcript,selectable
536,00:27:19:16,00:27:20:15,00:00:00:29,Teacher A,English,Okay.,,,a,no
537,00:27:23:02,00:27:24:01,00:00:00:29,Student A16,English,[unintelligible].,,,a,yes
538,00:27:33:02,00:27:35:21,00:00:02:19,Student A9,English,[unintelligible].,,,a,yes
539,00:27:57:02,00:28:01:28,00:00:04:24,Student A16,English,[unintelligible].,,,a,yes
540,00:28:04:28,00:28:05:27,00:00:00:29,Student A9,English,Man.,,,a,yes
541,00:28:07:05,00:28:07:28,00:00:00:23,Student A9,English,December 12?,,,a,yes
542,00:28:08:00,00:28:09:19,00:00:01:19,Student A9,English,This is due December 12?,,,a,yes
543,00:28:09:21,00:28:10:18,00:00:00:27,Student A9,English,[unintelligible].,,,a,yes
544,00:28:12:12,00:28:13:13,00:00:01:01,Student A1,English,Is this Pac-Man?,,,a,yes
545,00:28:13:15,00:28:17:04,00:00:03:19,Teacher A,English,"Alright, three [crosstalk].",,,a,no
546,00:28:17:13,00:28:17:29,00:00:00:16,Student A16,English,You're wrong.,,,a,yes
547,00:28:18:13,00:28:20:23,00:00:02:10,Teacher A,English,"Okay, I'm gonna open the next slide.",,,a,no
548,00:28:20:25,00:28:22:26,00:00:02:01,Teacher A,English,"Everybody join me there, please.",,,a,no
549,00:28:22:28,00:28:25:25,00:00:02:27,Teacher A,English,You are just practicing for three minutes.,,,a,no
550,00:28:26:09,00:28:32:19,00:00:06:10,Teacher A,English,Can I have somebody tell me what's the multiplier with a seven-percent tax?,,,a,no
551,00:28:33:14,00:28:35:06,00:00:01:22,Student A1,English,"That's crazy, bro.",,,a,yes
552,00:28:35:19,00:28:38:14,00:00:02:25,Teacher A,English,As the multiplier.,,,a,no
553,00:28:40:09,00:28:41:29,00:00:01:20,Teacher A,English,Did you guys hear what [unintelligible] said?,,,a,no
554,00:28:42:01,00:28:44:09,00:00:02:08,Teacher A,English,Give me a thumbs up because I don't think everyone's listening.,,,a,no
555,00:28:45:05,00:28:47:21,00:00:02:16,Teacher A,English,What's the multiplier with seven-percent tax?,,,a,no
556,00:28:47:23,00:28:49:21,00:00:01:28,Teacher A,English,"[unintelligible], tell them one more time, nice and loud.",,,a,no
557,00:28:54:22,00:28:56:16,00:00:01:24,Teacher A,English,Zero point zero seven.,,,a,no
558,00:28:56:18,00:28:57:14,00:00:00:26,Student A9,English,That would be point nine one.,,,a,yes
559,00:28:59:21,00:29:04:10,00:00:04:17,Teacher A,English,Is your multiplier and your eighteen percent tip.,,,a,no
560,00:29:06:01,00:29:08:12,00:00:02:11,Teacher A,English,What's the multiplier now?,,,a,no
561,00:29:11:13,00:29:14:10,00:00:02:27,Student A9,English,"Thirteen equals, and then...",,,a,yes
562,00:29:16:18,00:29:17:29,00:00:01:11,Student A9,English,Two point three four.,,,a,yes
563,00:29:19:08,00:29:20:19,00:00:01:11,Student A9,English,"Two point three four, right?",,,a,yes
564,00:29:21:19,00:29:22:23,00:00:01:04,Student A9,English,"Oh, wait, no; I'm doing it wrong.",,,a,yes
565,00:29:22:25,00:29:27:08,00:00:04:13,Teacher A,English,So you can either look at what [Student A15] said versus what [unintelligible] said.,,,a,no
566,00:29:27:10,00:29:28:27,00:00:01:17,Teacher A,English,You can either...,,,a,no
567,00:29:30:23,00:29:32:13,00:00:01:20,Teacher A,English,Can I have you all turn your bodies up here?,,,a,no
568,00:29:33:05,00:29:34:15,00:00:01:10,Student A9,English,"We have to look over there, [Student A16].",,,a,yes
569,00:29:35:19,00:29:49:05,00:00:13:16,Teacher A,English,"You can either multiply by point zero seven and add it in to the original, or you can skip ahead, like with the tip, and multiply by one point one eight.",,,a,no
570,00:29:49:07,00:29:52:18,00:00:03:11,Teacher A,English,So what could I change right here to make the tip point seven?,,,a,no
571,00:29:52:20,00:29:54:20,00:00:02:00,Student A9,English,I think I messed up.,,,a,yes
572,00:29:55:19,00:29:56:14,00:00:00:25,Student A9,English,"Yeah, I messed it up.",,,a,yes
573,00:30:02:14,00:30:04:08,00:00:01:24,Student A9,English,How'd you get twenty-four point six one?,,,a,yes
574,00:30:04:10,00:30:07:11,00:00:03:01,Teacher A,English,"Great, do you guys see how we can skip a step?",,,a,no
575,00:30:09:00,00:30:14:28,00:00:05:28,Teacher A,English,"Cool, can I have you tell somebody at your table, where did we get the one point zero seven from?",,,a,no
576,00:30:15:00,00:30:18:10,00:00:03:10,Teacher A,English,"Go ahead, turn and tell your table, where did we get the one point zero seven from?",,,a,no
577,00:30:18:15,00:30:19:16,00:00:01:01,Student A9,English,"Wait, mine is different.",,,a,yes
578,00:30:19:20,00:30:21:15,00:00:01:25,Student A1,English,From a bunch of numbers.,,,a,yes
579,00:30:21:17,00:30:22:27,00:00:01:10,Student A9,English,I got twenty-eight now.,,,a,yes
580,00:30:23:25,00:30:25:01,00:00:01:06,Student A9,English,To twenty-eight.,,,a,yes
581,00:30:28:14,00:30:30:23,00:00:02:09,Student A9,English,"Wait, why is my original cost twenty-eight?",,,a,yes
582,00:30:32:16,00:30:38:21,00:00:06:05,Student A9,English,Twenty-eight equals... and the percent.,,,a,yes
583,00:30:40:21,00:30:42:05,00:00:01:14,Student A9,English,One point nine six.,,,a,yes
584,00:30:42:22,00:30:43:13,00:00:00:21,Student A16,English,Four.,,,a,yes
585,00:30:43:23,00:30:46:17,00:00:02:24,Student A1,English,"Oh, my cost is thirty-four dollars.",,,a,yes
586,00:30:47:02,00:30:48:24,00:00:01:22,Student A9,English,Did you get something wrong?,,,a,yes
587,00:30:49:05,00:30:55:22,00:00:06:17,Student A1,English,"No, I just have a different, like, you have twenty-three and I have thirty-four.",,,a,yes
588,00:30:55:24,00:30:56:13,00:00:00:19,Student A9,English,And then...,,,a,yes
589,00:30:56:15,00:31:01:10,00:00:04:23,Student A16,English,...point seven five skibidi rizz.,,,a,yes
590,00:31:02:24,00:31:04:12,00:00:01:18,Student A16,English,Twenty-eight point seven five.,,,a,yes
591,00:31:04:14,00:31:05:02,00:00:00:18,Student A9,English,Twenty-eight?,,,a,yes
592,00:31:05:20,00:31:06:12,00:00:00:22,Student A9,English,"Wait, no, that's not it.",,,a,yes
593,00:31:06:14,00:31:07:02,00:00:00:18,Student A16,English,Am I right?,,,a,yes
594,00:31:08:01,00:31:08:18,00:00:00:17,Student A16,English,What?,,,a,yes
595,00:31:09:17,00:31:10:19,00:00:01:02,Student A9,English,"Yeah, [Student A16], yeah.",,,a,yes
596,00:31:13:16,00:31:16:00,00:00:02:14,Teacher A,English,"Alright, let's go; let's figure it out.",,,a,no
597,00:31:24:06,00:31:26:03,00:00:01:27,Student A9,English,Five point zero four.,,,a,yes
598,00:31:26:05,00:31:27:07,00:00:01:02,Student A16,English,Can we try?,,,a,yes
599,00:31:27:24,00:31:29:11,00:00:01:17,Student A9,English,It's a whole different problem.,,,a,yes
600,00:31:29:22,00:31:30:08,00:00:00:16,Student A16,English,What?,,,a,yes
601,00:31:34:24,00:31:36:24,00:00:02:00,Student A16,English,Zero point zero seven times thirty-one.,,,a,yes
602,00:31:38:11,00:31:39:23,00:00:01:12,Student A16,English,Zero.,,,a,yes
603,00:31:42:01,00:31:44:06,00:00:02:05,Student A9,English,Thirty-five point zero five.,,,a,yes
604,00:31:45:06,00:31:46:26,00:00:01:20,Student A9,English,"If this is wrong, bro...",,,a,yes
605,00:31:46:28,00:31:47:28,00:00:01:00,Student A9,English,What?,,,a,yes
606,00:31:48:23,00:31:50:13,00:00:01:20,Student A9,English,"I said ""thirty-five point zero five.""",,,a,yes
607,00:31:52:18,00:31:53:05,00:00:00:17,Student A9,English,Yeah.,,,a,yes
608,00:31:54:12,00:31:55:24,00:00:01:12,Student A9,English,Five point nine three nine.,,,a,yes
609,00:31:55:26,00:31:56:10,00:00:00:14,Student A9,English,How did it?,,,a,yes
610,00:31:56:27,00:31:57:20,00:00:00:23,Student A9,English,What?,,,a,yes
611,00:31:59:00,00:32:00:13,00:00:01:11,Student A9,English,How is it five point three nine?,,,a,yes
612,00:32:00:15,00:32:01:29,00:00:01:14,Student A9,English,How am I point three off?,,,a,yes
613,00:32:03:15,00:32:04:03,00:00:00:18,Student A9,English,What?,,,a,yes
614,00:32:11:02,00:32:13:23,00:00:02:21,Student A9,English,"Twenty-eight, delete that.",,,a,yes
615,00:32:14:21,00:32:16:07,00:00:01:16,Student A9,English,Equals percent...,,,a,yes
616,00:32:17:16,00:32:19:04,00:00:01:18,Student A9,English,"Bro, I'm not doing that.",,,a,yes
617,00:32:24:06,00:32:25:29,00:00:01:23,Student A9,English,"Okay, eighteen.",,,a,yes
618,00:32:28:05,00:32:30:24,00:00:02:19,Student A9,English,It gave me a whole different answer.,,,a,yes
619,00:32:31:25,00:32:32:25,00:00:01:00,Student A16,English,Eighteen percent?,,,a,yes
620,00:32:33:05,00:32:34:06,00:00:01:01,Student A9,English,Trying that.,,,a,yes
621,00:32:35:08,00:32:38:00,00:00:02:22,Student A9,English,I'm at eleven dollars. Seven percent of eleven.,,,a,yes
622,00:32:40:12,00:32:42:25,00:00:02:13,Student A1,English,I don't get this.,,,a,yes
623,00:32:42:27,00:32:44:27,00:00:02:00,Student A16,English,...point three one seven.,,,a,yes
624,00:32:51:00,00:32:52:01,00:00:01:01,Student A16,English,No.,,,a,yes
625,00:33:04:04,00:33:06:12,00:00:02:08,Student A16,English,Two point seventy-five.,,,a,yes
626,00:33:10:16,00:33:11:27,00:00:01:11,Student A9,English,"Alright, so clear...",,,a,yes
627,00:33:12:11,00:33:19:17,00:00:07:06,Student A9,English,One point nine eight plus point seven seven plus eleven.,,,a,yes
628,00:33:19:19,00:33:20:15,00:00:00:26,Student A9,English,Thirteen point seventy-five.,,,a,yes
629,00:33:20:17,00:33:22:11,00:00:01:24,Student A1,English,"Wait, how do we find seven percent of something again?",,,a,yes
630,00:33:22:13,00:33:25:09,00:00:02:26,Student A9,English,Thirteen point seventy-five.,,,a,yes
631,00:33:25:26,00:33:27:27,00:00:02:01,Student A9,English,"Yo, I swear to God, if this is not right...",,,a,yes
632,00:33:27:29,00:33:28:16,00:00:00:17,Student A9,English,What?!,,,a,yes
